Country,Count
Australia,1
Brazil,2
Cambodia,2
China,1
Fiji,?
France,1
Gabon,1
Guatemala,1
Kenya,1
Malaysia,1
New Zealand,1
Nicaragua,4
Palau,2
Panama,?
Philippines,?
Samoa,4
Thailand,1
Vanuatu,1
