Country,Count
Italy,14
France,?
Spain,4
Japan ,4
Sweden ,3
Denmark ,3
Soviet Union,3
Netherlands ,3
Germany ,2
Hungary ,2
Argentina ,2
Czechoslovakia,2
Switzerland,2
Austria,2
Iran ,?
Poland ,1
West Germany,1
Canada,1
Russia,1
Algeria,1
Taiwan,1
Czech Republic,1
South Africa,1
Bosnia and Herzegovina,1
Ivory Coast,1
